title,price,location,type_de_vente,salon,chamber,toilete,area,link
Appartement location de vacances à Meknès,300 DH /Nuit,Meknès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Mekn%C3%A8s_53420721.htm
appartement à louer,2 400 DH,Casablanca,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/al_qods/appartements/appartement_%C3%A0_louer_55734223.htm
Appartement beru à louer 150 m² à Temara,6 500 DH,Temara,NaN,1,NaN,NaN,150,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_beru_%C3%A0_louer_150_m%C2%B2_%C3%A0_Temara_55693572.htm
Appartement près a casanearshor sidi maarouf,3 000 DH,Casablanca,NaN,1,NaN,NaN,56,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_pr%C3%A8s_a_casanearshor_sidi_maarouf_55721198.htm
Appartement 84 m²Al Baraka à Dcheïra El Jihadia,701 720 DH,Dcheïra El Jihadia,"Appartements, à vendre",1,3,2,84,https://www.avito.ma/fr/dche%C3%AFra_el_jihadia/appartements/Appartement_84_m%C2%B2Al_Baraka__%C3%A0_Dche%C3%AFra_El_Jihadia_52999322.htm
Appartement à vendre 79 m² à Casablanca,580 000 DH,Casablanca,"Appartements, à vendre",2,2,1,79,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_55223183.htm
Appartement 3 chambres vide à louer,6 800 DH,Mohammedia,NaN,1,NaN,NaN,95,https://www.avito.ma/fr/mimosas/appartements/Appartement_3_chambres_vide_%C3%A0_louer_55689921.htm
Appart. 79 m2 Angle Chouka Omarya-Hay Chrifa,760 000 DH,Casablanca,"Appartements, à vendre",2,2,1,79,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appart__79_m2__Angle_Chouka__Omarya_Hay_Chrifa_55672086.htm
Appartement location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/founty/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Agadir_52925782.htm
Appart. Haut Stand 104 m2 Résid. Fermée Californie,1 560 000 DH,الدار البيضاء,"Appartements, à vendre",1,3,2,104,https://www.avito.ma/fr/californie/appartements/Appart__Haut_Stand_104_m2_R%C3%A9sid__Ferm%C3%A9e_Californie_55625698.htm
CMN-MA-1136 - Bureau à vendre à Maârif,1 100 000 DH,Casablanca,NaN,NaN,1,91,NaN,https://www.avito.ma/fr/maarif/bureaux/CMN_MA_1136___Bureau_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_54562159.htm
Appartement de luxe 156m sans vis à vis,1 300 000 DH,الدار البيضاء,"Appartements, à vendre",1,4,2,106,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_de_luxe_156m_sans_vis_%C3%A0_vis_55687853.htm
Appartement à vendre 91 m² à Mohammedia,1 277 500 DH,Mohammedia,"Appartements, à vendre",1,2,2,91,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_Mohammedia_55453790.htm
Appart. 2ème étage 82 m2 Lot chaoui Bd tah,880 000 DH,Casablanca,"Appartements, à vendre",2,2,2,82,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appart__2%C3%A8me_%C3%A9tage_82_m2_Lot_chaoui_Bd_tah_55626029.htm
Appartement à louer 78 m² à Béni Yakhlef,2 600 DH,Béni Yakhlef,NaN,1,NaN,NaN,78,https://www.avito.ma/fr/b%C3%A9ni_yakhlef/appartements/Appartement_%C3%A0_louer_78_m%C2%B2_%C3%A0_B%C3%A9ni_Yakhlef_55734210.htm
appart 2ch a Hay chrifa bd el Qods,4 500 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/californie/appartements/appart_2ch_a_Hay_chrifa_bd_el_Qods__55488093.htm
"À louer, appartement meublé de 60 m² ain sbaa",3 900 DH,Casablanca,"Appartements, à vendre",1,2,1,60,https://www.avito.ma/fr/ain_sebaa/appartements/%C3%80_louer__appartement_meubl%C3%A9_de_60_m%C2%B2_ain_sbaa_55734208.htm
Appartement à louer prés des résidences Taïba,2 600 DH,El Jadida,NaN,1,NaN,NaN,92,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_louer_pr%C3%A9s_des_r%C3%A9sidences_Ta%C3%AFba__55734207.htm
Appartement à vendre 60 m² La Perle Bleue à Dakhla,562 500 DH,Dakhla,"Appartements, à vendre",1,3,1,60,https://www.avito.ma/fr/dakhla/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_La_Perle_Bleue_%C3%A0_Dakhla_55045162.htm
appart HSDG Neuf a Rés the loft sidi maarouf,4 500 DH,Casablanca,NaN,1,NaN,NaN,77,https://www.avito.ma/fr/sidi_maarouf/appartements/appart_HSDG_Neuf_a_R%C3%A9s_the_loft_sidi_maarouf__55459029.htm
Appartement à vendre 97 m² Rizq à Agadir,1 238 400 DH,Agadir,"Appartements, à vendre",1,3,1,97,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_Rizq_%C3%A0_Agadir_54715149.htm
Appartement à louer à Rabat Quartier Océan,3 200 DH,Rabat,NaN,1,NaN,NaN,60,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Appartement_%C3%A0_louer_%C3%A0_Rabat_Quartier_Oc%C3%A9an_55734201.htm
Appartement à vendre 44 m² à Casablanca,864 000 DH,Casablanca,"Appartements, à vendre",1,1,1,44,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_44_m%C2%B2_%C3%A0_Casablanca_55449791.htm
A VENDRE - APPARTEMENT SUR MAARIF QUARTIER BERGER,860 000 DH,Casablanca,"Appartements, à vendre",1,2,1,78,https://www.avito.ma/fr/maarif/appartements/A_VENDRE___APPARTEMENT_SUR_MAARIF_QUARTIER_BERGER_55711811.htm
Appartement à vendre 137 m² à Mohammedia Parc,NaN,Mohammedia,"Appartements, à vendre",2,NaN,NaN,137,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_137_m%C2%B2_%C3%A0_Mohammedia_Parc_55372550.htm
Appartement à louer 120 m² à Casablanca,NaN,Casablanca,NaN,2,NaN,NaN,120,https://www.avito.ma/fr/polo/appartements/Appartement_%C3%A0_louer_120_m%C2%B2_%C3%A0_Casablanca_55043184.htm
CMN-MA-1755 - Appartement à vendre à Racine,1 400 000 DH,Casablanca,"Appartements, à vendre",NaN,1,1,58,https://www.avito.ma/fr/racine/appartements/CMN_MA_1755___Appartement_%C3%A0_vendre_%C3%A0_Racine_55650826.htm
Appartement à vendre 103 m² à Marrakech,NaN,Marrakech,"Appartements, à vendre",1,NaN,NaN,103,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Marrakech_55035347.htm
Appartement 3 ch vide à louer à californie,10 500 DH,Casablanca,NaN,1,NaN,NaN,134,https://www.avito.ma/fr/californie/appartements/Appartement_3_ch_vide_%C3%A0_louer_%C3%A0_californie_55734196.htm
cozy studio tranquille,500 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/haut_agdal/locations_de_vacances/cozy_studio_tranquille_55635262.htm
Appartement à louer 100 m² à Casablanca gauthier,8 000 DH,Casablanca,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Casablanca_gauthier_55734185.htm
location appartement meublé,4 200 DH,Marrakech,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/mabrouka/appartements/location_appartement_meubl%C3%A9__55734183.htm
joli appartement en location,470 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/joli_appartement_en_location_55612163.htm
Appartement LDV483 location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sonaba/locations_de_vacances/Appartement_LDV483_location_de_vacances_%C3%A0_Agadir_53120000.htm
Studio De luxe à quartion Racine 63 m2,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/racine/locations_de_vacances/Studio_De_luxe_%C3%A0_quartion_Racine_63_m2_52833529.htm
Appartement Spacieux au Cœur de Hay Riad,9 500 DH,Rabat,NaN,2,NaN,NaN,159,https://www.avito.ma/vi/55593495.htm
Appartement à louer pour vacances . LDV481,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/54273681.htm
Studio Spacieux 67 m2 0 Bd Ghandi,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/beaus%C3%A9jour/locations_de_vacances/Studio_Spacieux_67_m2_0_Bd_Ghandi__52833530.htm
Studio Magnifique à Bourgone 57 m2,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/bourgogne/locations_de_vacances/Studio_Magnifique_%C3%A0_Bourgone_57_m2_52833531.htm
Studio de Luxe Spacieux 2 chambre à Gauthier,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gauthier/locations_de_vacances/Studio_de_Luxe_Spacieux_2_chambre_%C3%A0_Gauthier_52833532.htm
Studio location de Luxe à Les princesses,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/les_princesses/locations_de_vacances/Studio_location_de_Luxe_%C3%A0_Les_princesses_52833533.htm
Studio 55 m2 à Anfa,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/anfa/locations_de_vacances/Studio_55_m2_%C3%A0_Anfa___52833535.htm
Appart meublé familiale sans intermédiaire Wi-Fi,250 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_hassani/locations_de_vacances/Appart_meubl%C3%A9_familiale_sans_interm%C3%A9diaire_Wi_Fi_55178684.htm
